trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.2, 'e': 0.4549999999999995}",30,3,-82.96443797968047,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 2}",1
110,False,"{'a': 0.2, 'e': 0.4499999999999995}",20,5,-3.4884861475072784,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.4449999999999995}",35,0,-114.37787163099472,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.4399999999999995}",30,0,-71.61750399451192,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.2, 'e': 0.4349999999999995}",20,16,7.608589272686249,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.4299999999999995}",25,11,-48.81918952648176,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.2, 'e': 0.4249999999999995}",25,12,14.620722161427869,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.4199999999999995}",30,19,-7.006596512208192,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.4149999999999995}",25,12,23.90666767547842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.4099999999999995}",30,13,17.09820262310619,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.40499999999999947}",30,0,43.701199306692125,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.39999999999999947}",20,3,-39.25043692132368,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.2, 'e': 0.39499999999999946}",25,14,-26.65031795863489,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.38999999999999946}",25,9,-5.56056964927394,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.38499999999999945}",30,18,-9.936805998481102,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.37999999999999945}",30,0,-9.214096263518382,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.2, 'e': 0.37499999999999944}",35,16,11.675209841527634,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.36999999999999944}",30,13,0.795327868919061,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.36499999999999944}",30,10,3.3517538207447037,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.35999999999999943}",25,5,25.846943123994993,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.3549999999999994}",20,4,-80.42425316746673,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
130,False,"{'a': 0.2, 'e': 0.3499999999999994}",20,0,-54.441065077341676,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
131,False,"{'a': 0.2, 'e': 0.3449999999999994}",25,7,-65.00461500747774,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 1}",1
132,False,"{'a': 0.2, 'e': 0.3399999999999994}",30,8,-36.71670871156056,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.3349999999999994}",25,1,-58.30617102384828,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.3299999999999994}",20,11,-1.2411078538097255,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.3249999999999994}",20,0,-14.459694583762108,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.2, 'e': 0.3199999999999994}",20,0,-16.088825607938738,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.2, 'e': 0.3149999999999994}",20,0,7.596239429835931,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.3099999999999994}",20,8,-19.702904707170806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.2, 'e': 0.3049999999999994}",20,13,14.285901843561032,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.2999999999999994}",30,2,-19.60001033027405,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 0}",1
141,False,"{'a': 0.2, 'e': 0.2949999999999994}",30,8,-29.654402898689074,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.2, 'e': 0.28999999999999937}",25,19,14.292329790351383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.28499999999999936}",30,22,13.681370851193135,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.27999999999999936}",20,13,3.95482922530746,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.27499999999999936}",20,2,3.414413943241712,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.26999999999999935}",30,12,4.35600332956812,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.26499999999999935}",25,5,-122.26497836731515,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",1
148,False,"{'a': 0.2, 'e': 0.25999999999999934}",20,10,-3.597326055520088,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.25499999999999934}",20,1,23.643262737273165,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.24999999999999933}",20,7,13.466515400021805,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.24499999999999933}",20,15,6.107996124579629,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.23999999999999932}",20,0,-2.605327997061815,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.2, 'e': 0.23499999999999932}",20,14,10.692838062709482,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.22999999999999932}",20,0,25.66709603839223,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.2249999999999993}",25,8,2.500587626127969,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.2199999999999993}",25,6,5.504006834819053,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.2149999999999993}",25,12,-10.570938682762488,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.2099999999999993}",25,1,37.4705363800878,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.2049999999999993}",25,13,-25.98431073277982,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.1999999999999993}",20,12,2.5872574743467034,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.19499999999999929}",25,9,33.78460583873286,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
